reason_for_visit,symptoms,symptom_type
dog allergy,cough sneezing watery eyes,Respiratory
cold weather,cough chest pain difficulty breathing,Respiratory
cough and chest pain,coughing chest pain difficulty breathing,Respiratory
bronchitis symptoms,coughing chest pain difficulty breathing,Respiratory
allergies to pollen,cough sneezing watery eyes,Respiratory
coughing spells,cough chest pain difficulty breathing,Respiratory
sinus pressure,cough congestion headache,Respiratory
chronic coughing,coughing chest pain difficulty breathing,Respiratory
training for a race,cough chest pain difficulty breathing,Respiratory
choking sensation,cough difficulty swallowing chest pain,Respiratory
storm exposure,cough chest pain difficulty breathing,Respiratory
flu symptoms,cough congestion fever body aches,Respiratory
chest pain,cough shortness of breath chest pain,Respiratory
allergy,cough congestion watery eyes,Respiratory
workplace exposure,cough chest pain difficulty breathing,Respiratory
following up on chronic bronchitis symptoms,cannot get my breath chest feels tight coughing wheezing difficulty breathing,Respiratory
cat allergy,cough sneezing watery eyes,Respiratory
sore throat,sore throat coughing congestion,Respiratory
bronchitis symptoms,coughing chest pain difficulty breathing fatigue,Respiratory
respiratory issues,cannot get my breath chest feels tight coughing wheezing,Respiratory
lung infection,cough chest pain difficulty breathing,Respiratory
chronic cough,coughing chest pain difficulty breathing fatigue,Respiratory
chronic cough,coughing chest pain difficulty breathing fatigue,Respiratory
cough and chest pain,coughing chest pain need some air feeling winded difficulty breathing,Respiratory
shortness of breath,shortness of breath coughing chest tightness,Respiratory
chronic bronchitis,coughing chest pain difficulty breathing,Respiratory
seeking treatment for chronic cough and chest pain,coughing chest pain cannot get enough air feeling winded difficulty breathing shortness of breath,Respiratory
feeling like i cannot keep anything down,vomiting diarrhea abdominal cramps,Digestive
i cannot stop shitting my stomach is all twisted up,i have got a gut ache i cannot hold down any food,Digestive
abdominal pain bloating gas,diarrhea constipation loss of appetite,Digestive
i have been experiencing frequent stomach issues,nausea vomiting diarrhea,Digestive
i am puking my guts out,nausea vomiting abdominal pain,Digestive
i cannot stop shitting,diarrhea abdominal pain bloating,Digestive
i have been experiencing a lot of stomach pain,abdominal pain bloating gas,Digestive
heartburn acid reflux bloating,nausea vomiting constipation,Digestive
feeling like i am constantly bloated,diarrhea constipation loss of appetite,Digestive
i have a constant feeling of bloating and discomfort,diarrhea constipation abdominal pain,Digestive
feeling like i have to go to the bathroom all the time,diarrhea constipation bloating,Digestive
nausea vomiting abdominal pain,diarrhea constipation bloating,Digestive
feeling like i am constantly bloated,diarrhea constipation loss of appetite,Digestive
heartburn acid reflux bloating,nausea vomiting diarrhea,Digestive
i have been throwing up,nausea vomiting diarrhea,Digestive
feeling sick to my stomach,throwing up cannot go to the bathroom,Digestive
feeling nauseous and dizzy,vomiting diarrhea abdominal pain,Digestive
my stomach is constantly in knots,nausea vomiting bloating,Digestive
i am constantly experiencing stomach pain and discomfort,abdominal cramps bloating gas,Digestive
feeling sick to my stomach,throwing up cannot go to the bathroom,Digestive
my stomach is killing me,i feel like i am going to hurl i am puking my guts out,Digestive
i have been experiencing stomach pain and discomfort,abdominal cramps bloating gas,Digestive
heartburn acid reflux bloating,nausea vomiting constipation,Digestive
my stomach is constantly in knots,nausea vomiting bloating,Digestive
i have been experiencing stomach pain and discomfort,abdominal cramps bloating gas,Digestive
feeling sick to my stomach,throwing up cannot go to the bathroom,Digestive
i have been experiencing the runs,nausea vomiting diarrhea,Digestive
abdominal pain bloating gas,diarrhea constipation loss of appetite,Digestive
abdominal pain bloating gas,diarrhea constipation loss of appetite,Digestive
abdominal pain bloating gas,diarrhea constipation loss of appetite,Digestive
diarrhea constipation bloating,nausea vomiting abdominal pain,Digestive
i have been feeling sick to my stomach,nausea vomiting diarrhea,Digestive
abdominal pain bloating gas,diarrhea constipation loss of appetite,Digestive
heartburn acid reflux bloating,nausea vomiting constipation,Digestive
feeling sick to my stomach,throwing up cannot go to the bathroom,Digestive
i have been experiencing frequent stomach issues,nausea vomiting diarrhea,Digestive
i have got the trots i have got a bellyache,nausea vomiting abdominal pain,Digestive
i cannot seem to keep anything down,nausea vomiting abdominal pain,Digestive
constant heartburn and acid reflux,nausea vomiting bloating,Digestive
heartburn acid reflux bloating,nausea vomiting constipation,Digestive
heartburn acid reflux bloating,nausea vomiting constipation,Digestive
gut ache bloating gas,diarrhea constipation loss of appetite,Digestive
abdominal pain bloating gas,diarrhea constipation loss of appetite,Digestive
feeling sick to my stomach,throwing up cannot go to the bathroom,Digestive
abdominal pain bloating gas,diarrhea constipation loss of appetite,Digestive
i feel like i am going to hurl,nausea vomiting abdominal pain,Digestive
feeling like i cannot keep anything down,vomiting diarrhea abdominal cramps,Digestive
i am constantly feeling sick to my stomach,nausea vomiting bloating,Digestive
abdominal pain bloating gas,nausea vomiting constipation,Digestive
i have been experiencing stomach pain and discomfort,abdominal cramps bloating gas,Digestive
feeling like i have to go to the bathroom all the time,diarrhea constipation bloating,Digestive
i have been experiencing stomach pain and discomfort,abdominal cramps bloating gas,Digestive
feeling sick to my stomach,throwing up diarrhea abdominal pain,Digestive
nausea vomiting diarrhea,abdominal pain bloating loss of appetite,Digestive
i feel like i am constantly going to the bathroom,diarrhea constipation bloating,Digestive
feeling sick to my stomach,throwing up cannot go to the bathroom,Digestive
abdominal pain bloating gas,diarrhea constipation loss of appetite,Digestive
heartburn acid reflux bloating,nausea vomiting constipation,Digestive
i have been experiencing stomach pain and discomfort,abdominal cramps bloating gas,Digestive
i have been experiencing stomach pain and discomfort,abdominal cramps bloating gas,Digestive
i cannot seem to get rid of this stomachache,bloating gas abdominal pain,Digestive
nausea vomiting abdominal pain,diarrhea constipation bloating,Digestive
i cannot go to the bathroom,constipation bloating gas,Digestive
feeling sick to my stomach,throwing up cannot go to the bathroom,Digestive
feeling nauseous and dizzy,vomiting diarrhea abdominal pain,Digestive
abdominal pain bloating gas,nausea vomiting diarrhea,Digestive
feeling nauseous and dizzy,vomiting diarrhea abdominal pain,Digestive
feeling nauseous and dizzy,vomiting diarrhea abdominal pain,Digestive
heartburn acid reflux bloating,nausea vomiting constipation,Digestive
i have been experiencing stomach pain and discomfort,abdominal cramps bloating gas,Digestive
gut ache bloating gas,diarrhea constipation loss of appetite,Digestive
i cannot seem to keep anything down,nausea vomiting bloating,Digestive
i have been experiencing stomach pain and discomfort,abdominal cramps bloating gas,Digestive
i have a constant feeling of bloating and discomfort,diarrhea constipation abdominal pain,Digestive
i cannot seem to get rid of this stomachache,bloating gas abdominal pain,Digestive
i am constantly feeling sick to my stomach,nausea vomiting bloating,Digestive
i have been experiencing stomach pain and discomfort,abdominal cramps bloating gas,Digestive
stress anxiety irritability,difficulty sleeping lack of motivation mood swings,Mental 
feeling overwhelmed and irritable,anxiety mood swings sleep problems,Mental 
struggling with anxiety and stress,sleep problems mood swings difficulty concentrating,Mental 
feeling down and anxious,lack of motivation loss of interest in activities,Mental 
feeling stressed and overwhelmed,mood swings irritability social withdrawal,Mental 
feeling down and hopeless,loss of interest in activities sleep problems,Mental 
struggling with managing stress,stress irritability difficulty concentrating,Mental 
feeling overwhelmed and stressed,irritability mood swings sleep problems,Mental 
i am not feeling like myself,mood swings irritability social withdrawal,Mental 
seeking help for my mental health struggles,depression lack of motivation social withdrawal,Mental 
i am feeling down,depression stress sleep problems,Mental 
feeling down and anxious,lack of motivation social withdrawal,Mental 
feeling overwhelmed and disconnected,depression loss of interest in activities,Mental 
stress loss of motivation,lack of interest in activities social withdrawal,Mental 
i am struggling with stress and anxiety,sleep problems lack of motivation difficulty concentrating,Mental 
feeling anxious and depressed,excessive worrying difficulty sleeping low mood,Mental 
feeling overwhelmed and anxious,depression irritability sleep problems,Mental 
need support for anxiety and stress,difficulty concentrating lack of motivation,Mental 
i am stressed out,stress mood swings difficulty concentrating,Mental 
i feel depressed and anxious all the time,sleep problems lack of interest in activities difficulty concentrating,Mental 
feeling down,tired all the time lack of motivation mood swings,Mental 
i am easily annoyed,stress irritability mood swings,Mental 
feeling burnt out,insomnia lack of motivation irritability headaches,Mental 
feeling depressed and anxious,difficulty sleeping lack of motivation irritability,Mental 
feeling down,sleeping too much or too little appetite changes lack of interest in hobbies feeling hopeless,Mental 
i am not feeling like myself,mood swings irritability social withdrawal,Mental 
feeling overwhelmed,excessive worrying mood swings social withdrawal loss of interest in activities,Mental 
mood swings,irritability loss of interest in activities sleep problems,Mental 
needing support for my mental health,anxiety stress mood swings,Mental 
feeling overwhelmed,anxiety stress lack of motivation,Mental 
mood swings irritability social withdrawal,insomnia difficulty concentrating lack of motivation,Mental 
feeling out of control,racing thoughts impulsive behavior agitation substance abuse,Mental 
feeling down and hopeless,loss of motivation social withdrawal irritability,Mental 
feeling depressed,lack of motivation difficulty sleeping irritability,Mental 
stress at work,headaches muscle tension sleep problems,Mental 
i am all over the place emotionally,mood swings irritability loss of interest in activities,Mental 
experiencing sleep problems,difficulty falling and staying asleep waking up feeling tired,Mental 
feeling down and isolated,lack of motivation loss of interest in activities social withdrawal,Mental 
feeling overwhelmed by my mental health issues,anxiety stress difficulty concentrating,Mental 
loss of interest in activities mood swings sleep problems,fatigue irritability difficulty concentrating,Mental 
feeling overwhelmed,insomnia loss of appetite lack of interest in activities,Mental 
mood swings,irritability difficulty concentrating social withdrawal,Mental 
depression,lack of interest in activities social withdrawal sleep problems,Mental 
feeling anxious and on edge,irritability difficulty concentrating social withdrawal,Mental 
anxiety stress,mood swings difficulty concentrating,Mental 
stress anxiety sleep problems,panic attacks obsessive thoughts phobias,Mental 
depression and anxiety,lack of motivation social withdrawal difficulty concentrating,Mental 
experiencing sleep problems and mood swings,sleep problems mood swings irritability,Mental 
feeling down and disconnected from others,depression lack of motivation social withdrawal,Mental 
struggling with stress and mood swings,difficulty concentrating irritability low energy,Mental 
feeling down and hopeless,loss of interest in activities sleep problems irritability,Mental 
feeling stressed out,mood swings sleep problems difficulty concentrating,Mental 
feeling down anxious and stressed,mood swings irritability sleep problems,Mental 
feeling down and hopeless,lack of motivation loss of appetite sleep problems,Mental 
need help managing stress and anxiety,sleep problems irritability,Mental 
i cannot focus,stress anxiety difficulty concentrating,Mental 
mood swings and sleep problems,anxiety difficulty concentrating loss of interest in activities,Mental 
anxiety attacks,racing thoughts difficulty sleeping irritability,Mental 
depression anxiety mood swings,sleep problems irritability difficulty concentrating,Mental 
i am feeling really blue,depression anxiety stress sleep problems,Mental 
mood swings and social withdrawal,sleep problems irritability difficulty concentrating,Mental 
i am anxious all the time,anxiety stress irritability,Mental 
difficulty coping with daily life,anxiety lack of motivation social withdrawal,Mental 
feeling anxious and depressed,mood swings irritability social withdrawal,Mental 
needing help with depression,depression social withdrawal lack of motivation,Mental 
i cannot sleep,anxiety stress sleep problems,Mental 
depression and anxiety,lack of motivation social withdrawal difficulty concentrating,Mental 
anxiety and stress,constant worrying difficulty concentrating social withdrawal,Mental 
depressed and anxious,lack of energy sleep problems irritability difficulty concentrating,Mental 
feeling overwhelmed and stressed,stress anxiety mood swings,Mental 
feeling down overwhelmed,irritability sleep problems,Mental 
depression anxiety stress,panic attacks obsessive thoughts phobias,Mental 
